country,asn,prefix,file,batch,as_name
CA,852,2001:56a::/33,/home/ipv6/periphery/result/ARIN/CA/Telu_1/uniq_ips.txt,1000,TELUS Communications Inc.
CA,6327,2607:ffb0::/32,/home/ipv6/periphery/result/ARIN/CA/Shw/uniq_ips.txt,1000,Shaw Communications Inc.
CA,7992,2001:1970::/32,/home/ipv6/periphery/result/ARIN/CA/Cog/uniq_ips.txt,1000,Cogeco Connexion Inc.
CA,852,2001:569::/33,/home/ipv6/periphery/result/ARIN/CA/Telu_0/uniq_ips.txt,1000,TELUS Communications Inc.
CA,812,2605:8d80::/32,/home/ipv6/periphery/result/ARIN/CA/Rog/uniq_ips.txt,1000,Rogers Communications Canada Inc.
CA,577,2001:4958::/32,/home/ipv6/periphery/result/ARIN/CA/BC/uniq_ips.txt,1000,Bell Canada
US,33059,2606:840::/32,/home/ipv6/periphery/result/ARIN/US/Vez_0/uniq_ips.txt,1000,Level 3 Parent
US,3356,2001:1900::/32,/home/ipv6/periphery/result/ARIN/US/Lev_0/uniq_ips.txt,1000,"Level 3 Parent, LLC"
US,33059,2606:840::/32,/home/ipv6/periphery/result/ARIN/US/Lev_1/uniq_ips.txt,1000,"Momentum Telecom, Inc."
US,174,2001:550::/32,/home/ipv6/periphery/result/ARIN/US/Cog/uniq_ips.txt,1000,Cogent Communications
US,6939,2001:470::/32,/home/ipv6/periphery/result/ARIN/US/HE/uniq_ips.txt,1000,Hurricane Electric LLC
US,6453,2001:5a0::/32,/home/ipv6/periphery/result/ARIN/US/TATA/uniq_ips.txt,1000,TATA COMMUNICATIONS (AMERICA) INC
US,7922,2001:558::/29,/home/ipv6/periphery/result/ARIN/US/Com/uniq_ips.txt,1000,"Comcast Cable Communications, LLC"
US,701,2600:4000::/24,/home/ipv6/periphery/result/ARIN/US/Vez_1/uniq_ips.txt,1000,Verizon Business/UUne
PR,21559,2604:1cc0::/32,/home/ipv6/periphery/result/ARIN/PR/OSNET/uniq_ips.txt,1000,OSNET Wireless
PR,14979,2606:d6c0::/32,/home/ipv6/periphery/result/ARIN/PR/AW/uniq_ips.txt,1000,Aeronet Wireless
PR,399291,2607:efc0::/32,/home/ipv6/periphery/result/ARIN/PR/FNI/uniq_ips.txt,1000,Puerto Rico Fiber Network Inc
PR,5786,2607:2000::/32,/home/ipv6/periphery/result/ARIN/PR/CPR/uniq_ips.txt,1000,University of Puerto Rico
DE,3209,2a02:908::/33,/home/ipv6/periphery/result/RIPE/DE/Voda_0/uniq_ips.txt,1000,Vodafone GmbH
DE,8881,2001:16b8::/32,/home/ipv6/periphery/result/RIPE/DE/Voda_3/uniq_ips.txt,1000,1&1 Versatel Deutschland GmbH
DE,60294,2a00:6020::/32,/home/ipv6/periphery/result/RIPE/DE/De/uniq_ips.txt,1000,Deutsche Glasfaser Wholesale GmbH
DE,8881,2001:1438::/32,/home/ipv6/periphery/result/RIPE/DE/Voda_2/uniq_ips.txt,1000,1&1 Versatel Deutschland GmbH
DE,8881,2001:9e8::/32,/home/ipv6/periphery/result/RIPE/DE/Voda_1/uniq_ips.txt,1000,1&1 Versatel Deutschland GmbH
FI,20712,2001:8b0::/32,/home/ipv6/periphery/result/RIPE/FI/TF_0/uniq_ips.txt,1000,Andrews & Arnold Ltd
FI,1759,2001:2000::/25,/home/ipv6/periphery/result/RIPE/FI/TF_2/uniq_ips.txt,1000,Telia Finland Oyj
FI,1759,2001:2062::/32,/home/ipv6/periphery/result/RIPE/FI/TF_3/uniq_ips.txt,1000,Telia Finland Oyj
FI,1759,2000::/4,/home/ipv6/periphery/result/RIPE/FI/TF_1/uniq_ips.txt,1000,Telia Finland Oyj
UA,15895,2a02:2378::/32,/home/ipv6/periphery/result/RIPE/UA/Kyiv/uniq_ips.txt,1000,Kyivstar PJSC
LV,2588,2a02:610::/32,/home/ipv6/periphery/result/RIPE/LV/Bite/uniq_ips.txt,1000,SIA BITE Latvija
IS,44735,2a01:6f00::/29,/home/ipv6/periphery/result/RIPE/IS/Nova_0/uniq_ips.txt,1000,Nova hf
IS,44735,2a01:6f00::/29,/home/ipv6/periphery/result/RIPE/IS/Nova_1/uniq_ips.txt,1000,Nova hf
IS,6677,2001:1a98::/29,/home/ipv6/periphery/result/RIPE/IS/Mila/uniq_ips.txt,1000,Mila hf
IT,1267,2a02:b000::/23,/home/ipv6/periphery/result/RIPE/IT/Wind_1/uniq_ips.txt,1000,WIND TRE S.P.A.
IT,1267,2a02:b000::/23,/home/ipv6/periphery/result/RIPE/IT/Wind_0/uniq_ips.txt,1000,WIND TRE S.P.A.
IT,49605,2a02:e50::/32,/home/ipv6/periphery/result/RIPE/IT/Digi/uniq_ips.txt,1000,Digital Telecommunication Services S.r.l.
IT,41327,2a09:3e40::/29,/home/ipv6/periphery/result/RIPE/IT/Fibe/uniq_ips.txt,1000,Fiber Telecom S.p.A.
HU,5493,2001:4c48::/29,/home/ipv6/periphery/result/RIPE/HU/Mag/uniq_ips.txt,1000,Magyar Telekom plc.
PL,5617,2a01:1000::/21,/home/ipv6/periphery/result/RIPE/PL/Oran_0/uniq_ips.txt,1000,Orange Polska Spolka Akcyjna
PL,12741,2001:41b0::/32,/home/ipv6/periphery/result/RIPE/PL/Neti/uniq_ips.txt,1000,Netia SA
PL,5617,2a01:1000::/21,/home/ipv6/periphery/result/RIPE/PL/Oran_1/uniq_ips.txt,1000,Orange Polska Spolka Akcyjna
SE,1257,2a01:b880::/32,/home/ipv6/periphery/result/RIPE/SE/Tel2_2/uniq_ips.txt,1000,Tele2 Sverige AB
SE,1257,2a04:ae00::/26,/home/ipv6/periphery/result/RIPE/SE/Tel2_3/uniq_ips.txt,1000,Tele2 Sverige AB
SE,35706,2001:4db8::/32,/home/ipv6/periphery/result/RIPE/SE/NetA/uniq_ips.txt,1000,Net at Once Sweden AB
SE,8473,2001:9b0::/29,/home/ipv6/periphery/result/RIPE/SE/Bahn/uniq_ips.txt,1000,Bahnhof AB
SE,1257,2a00:800::/25,/home/ipv6/periphery/result/RIPE/SE/Tel2_1/uniq_ips.txt,1000,Tele2 Sverige AB
SE,1257,2001:6f0::/29,/home/ipv6/periphery/result/RIPE/SE/Tel2_0/uniq_ips.txt,1000,Tele2 Sverige AB
SI,5603,2a00:ee0::/29,/home/ipv6/periphery/result/RIPE/SI/Tele/uniq_ips.txt,1000,Telekom Slovenije, d.d.
IE,5466,2001:bb0::/29,/home/ipv6/periphery/result/RIPE/IE/Eir/uniq_ips.txt,1000,Eircom Limited
RS,8400,2a06:63c0::/29,/home/ipv6/periphery/result/RIPE/RS/Tele_0/uniq_ips.txt,1000,TELEKOM SRBIJA a.d.
RS,8400,2a06:63c0::/29,/home/ipv6/periphery/result/RIPE/RS/Tele_1/uniq_ips.txt,1000,TELEKOM SRBIJA a.d.
RU,36781,2a02:2698::/29,/home/ipv6/periphery/result/RIPE/RU/ERT/uniq_ips.txt,1000,ERT
RU,8359,2a00:1fa0::/29,/home/ipv6/periphery/result/RIPE/RU/MTS/uniq_ips.txt,1000,MTS PJSC
RU,31133,2a03:d000::/29,/home/ipv6/periphery/result/RIPE/RU/Mega/uniq_ips.txt,1000,MegaFon
TR,34984,2a02:e0::/32,/home/ipv6/periphery/result/RIPE/TR/TNet/uniq_ips.txt,1000,Superonline Iletisim Hizmetleri A.S.
TR,9121,2a00:1d32::/32,/home/ipv6/periphery/result/RIPE/TR/Turk_0/uniq_ips.txt,1000,Turk Telekomunikasyon Anonim Sirketi
TR,9121,2a00:1d32::/32,/home/ipv6/periphery/result/RIPE/TR/Turk_2/uniq_ips.txt,1000,Turk Telekomunikasyon Anonim Sirketi
TR,9121,2a00:1d32::/32,/home/ipv6/periphery/result/RIPE/TR/Turk_1/uniq_ips.txt,1000,Turk Telekomunikasyon Anonim Sirketi
LU,8632,2a02:678::/32,/home/ipv6/periphery/result/RIPE/LU/Luxo/uniq_ips.txt,1000,Luxembourg Online S.A.
LU,6661,2001:7e8::/32,/home/ipv6/periphery/result/RIPE/LU/Post/uniq_ips.txt,1000,POST Luxembourg
GR,1241,2a02:2149:8000::/33,/home/ipv6/periphery/result/RIPE/GR/Nova_0/uniq_ips.txt,1000,Nova Telecommunications & Media Single Member S.A
GR,6799,2a02:580::/29,/home/ipv6/periphery/result/RIPE/GR/OTE_3/uniq_ips.txt,1000,Ote SA (Hellenic Telecommunications Organisation)
GR,1241,2a02:2148::/29,/home/ipv6/periphery/result/RIPE/GR/Nova_1/uniq_ips.txt,1000,Nova Telecommunications & Media Single Member S.A
GR,6799,2a02:580::/29,/home/ipv6/periphery/result/RIPE/GR/OTE_4/uniq_ips.txt,1000,Ote SA (Hellenic Telecommunications Organisation)
GR,6799,2a02:580::/29,/home/ipv6/periphery/result/RIPE/GR/OTE_2/uniq_ips.txt,1000,Ote SA (Hellenic Telecommunications Organisation)
GR,6799,2a02:580::/29,/home/ipv6/periphery/result/RIPE/GR/OTE_0/uniq_ips.txt,1000,Ote SA (Hellenic Telecommunications Organisation)
GR,6799,2a02:580::/29,/home/ipv6/periphery/result/RIPE/GR/OTE_1/uniq_ips.txt,1000,Ote SA (Hellenic Telecommunications Organisation)
GR,1241,2a02:2148::/29,/home/ipv6/periphery/result/RIPE/GR/Nova_2/uniq_ips.txt,1000,Nova Telecommunications & Media Single Member S.A
BE,5432,2a02:a000::/26,/home/ipv6/periphery/result/RIPE/BE/Prox/uniq_ips.txt,1000,Proximus NV
BE,12392,2a02:2788::/32,/home/ipv6/periphery/result/RIPE/BE/VOO/uniq_ips.txt,1000,VOO S.A.
BE,6848,2a02:1800::/24,/home/ipv6/periphery/result/RIPE/BE/Tele_0/uniq_ips.txt,1000,Telenet BV
BE,6848,2a02:1800::/24,/home/ipv6/periphery/result/RIPE/BE/Tele_1/uniq_ips.txt,1000,Telenet BV
BE,6848,2a02:1800::/24,/home/ipv6/periphery/result/RIPE/BE/Tele_2/uniq_ips.txt,1000,Telenet BV
NL,60781,2001:1af8::/32,/home/ipv6/periphery/result/RIPE/NL/Leas/uniq_ips.txt,1000,LeaseWeb Netherlands B.V.
NL,31477,2a01:1b0::/32,/home/ipv6/periphery/result/RIPE/NL/Duo/uniq_ips.txt,1000,Duocast B.V.
FR,3215,2a01:cb1d::/32,/home/ipv6/periphery/result/RIPE/FR/Org_7/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb11::/36,/home/ipv6/periphery/result/RIPE/FR/Org_3/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb15::/32,/home/ipv6/periphery/result/RIPE/FR/Org_1/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb1c::/30,/home/ipv6/periphery/result/RIPE/FR/Org_6/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb14::/30,/home/ipv6/periphery/result/RIPE/FR/Org_0/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb10::/30,/home/ipv6/periphery/result/RIPE/FR/Org_2/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb20::/32,/home/ipv6/periphery/result/RIPE/FR/Org_8/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb19::/32,/home/ipv6/periphery/result/RIPE/FR/Org_5/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb18::/30,/home/ipv6/periphery/result/RIPE/FR/Org_4/uniq_ips.txt,1000,Orange S.A.
FR,3215,2a01:cb22::/36,/home/ipv6/periphery/result/RIPE/FR/Org_9/uniq_ips.txt,1000,Orange S.A.
EE,2586,2001:1530::/32,/home/ipv6/periphery/result/RIPE/EE/Eli/uniq_ips.txt,1000,Elisa Eesti AS
EE,3249,2001:7d0::/32,/home/ipv6/periphery/result/RIPE/EE/Tel/uniq_ips.txt,1000,Telia Eesti AS
SK,6855,2a00:12a8::/29,/home/ipv6/periphery/result/RIPE/SK/Slov/uniq_ips.txt,1000,"Slovak Telekom, a.s."
AL,35047,2a01:4f00::/32,/home/ipv6/periphery/result/RIPE/AL/Abs/uniq_ips.txt,1000,Abissnet sh.a.
RO,8953,2a02:a58::/32,/home/ipv6/periphery/result/RIPE/RO/Oran/uniq_ips.txt,1000,Orange Romania S.A.
RO,8708,2a02:2f00::/28,/home/ipv6/periphery/result/RIPE/RO/Digi/uniq_ips.txt,1000,DIGI ROMANIA S.A.
UK,56478,2a01:4b00::/32,/home/ipv6/periphery/result/RIPE/UK/Hype/uniq_ips.txt,1000,Hyperoptic Ltd
UK,2856,2a00:2380::/25,/home/ipv6/periphery/result/RIPE/UK/Brit_1/uniq_ips.txt,1000,Hyperoptic Ltd
UK,13037,2a02:8010::/29,/home/ipv6/periphery/result/RIPE/UK/Zen_2/uniq_ips.txt,1000,Zen Internet Ltd
UK,13037,2a02:8010::/29,/home/ipv6/periphery/result/RIPE/UK/Zen_0/uniq_ips.txt,1000,Zen Internet Ltd
UK,2856,2a00:2380::/25,/home/ipv6/periphery/result/RIPE/UK/Brit_0/uniq_ips.txt,1000,Hyperoptic Ltd
UK,13037,2a02:8010::/29,/home/ipv6/periphery/result/RIPE/UK/Zen_1/uniq_ips.txt,1000,Zen Internet Ltd
DK,31027,2a02:188::/29,/home/ipv6/periphery/result/RIPE/DK/GC/uniq_ips.txt,1000,GlobalConnect A/S
DK,3292,2001:6c8::/29,/home/ipv6/periphery/result/RIPE/DK/TDC/uniq_ips.txt,1000,TDC Holding A/S
BG,8866,2a01:5a8::/32,/home/ipv6/periphery/result/RIPE/BG/Viv/uniq_ips.txt,1000,Vivacom Bulgaria EAD
BG,8717,2a00:4800::/29,/home/ipv6/periphery/result/RIPE/BG/A1/uniq_ips.txt,1000,A1 Bulgaria EAD
CY,6866,2a00:1358::/29,/home/ipv6/periphery/result/RIPE/CY/TA/uniq_ips.txt,1000,Cyprus Telecommunications Authority
CY,35432,2a02:540::/32,/home/ipv6/periphery/result/RIPE/CY/CB/uniq_ips.txt,1000,Cablenet Communication Systems plc
BA,9146,2a02:27b0::/32,/home/ipv6/periphery/result/RIPE/BA/BHT/uniq_ips.txt,1000,BH Telecom d.d. Sarajevo
HR,5391,2000::/4,/home/ipv6/periphery/result/RIPE/HR/HrT_1/uniq_ips.txt,1000,Hrvatski Telekom d.d.
HR,5391,2a00:c30::/29,/home/ipv6/periphery/result/RIPE/HR/HrT_0/uniq_ips.txt,1000,Hrvatski Telekom d.d.
ES,57269,2a0c:5a80::/29,/home/ipv6/periphery/result/RIPE/ES/Digi/uniq_ips.txt,1000,DIGI SPAIN TELECOM S.L.
CH,3303,2a02:1210::/29,/home/ipv6/periphery/result/RIPE/CH/Swis_0/uniq_ips.txt,1000,Swisscom (Schweiz) AG
CH,3303,2a02:21b4::/31,/home/ipv6/periphery/result/RIPE/CH/Swis_3/uniq_ips.txt,1000,Swisscom (Schweiz) AG
CH,9044,2001:1680::/29,/home/ipv6/periphery/result/RIPE/CH/BSE/uniq_ips.txt,1000,BSE Software GmbH
CH,3303,2a02:1200::/27,/home/ipv6/periphery/result/RIPE/CH/Swis_1/uniq_ips.txt,1000,Swisscom (Schweiz) AG
CH,3303,2a02:1200::/27,/home/ipv6/periphery/result/RIPE/CH/Swis_2/uniq_ips.txt,1000,Swisscom (Schweiz) AG
CH,6730,2001:1700::/27,/home/ipv6/periphery/result/RIPE/CH/Sunr/uniq_ips.txt,1000,Sunrise GmbH
PT,12353,2001:818:c000::/34,/home/ipv6/periphery/result/RIPE/PT/Voda/uniq_ips.txt,1000,Vodafone Portugal - Communicacoes Pessoais S.A.
PT,15525,2a02:818::/32,/home/ipv6/periphery/result/RIPE/PT/MEO_2/uniq_ips.txt,1000,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
PT,3243,2001:8a0::/32,/home/ipv6/periphery/result/RIPE/PT/MEO_1/uniq_ips.txt,1000,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
PT,8657,2001:15d8::/32,/home/ipv6/periphery/result/RIPE/PT/MEO_0/uniq_ips.txt,1000,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
PT,2860,2a01:10::/29,/home/ipv6/periphery/result/RIPE/PT/NOS/uniq_ips.txt,1000,NOS COMUNICACOES, S.A.
LT,56630,2a06:f900::/29,/home/ipv6/periphery/result/RIPE/LT/Melb_1/uniq_ips.txt,1000,Melbikomas UAB
LT,56630,2a06:f900::/29,/home/ipv6/periphery/result/RIPE/LT/Melb_0/uniq_ips.txt,1000,Melbikomas UAB
LT,56630,2a06:f900::/29,/home/ipv6/periphery/result/RIPE/LT/Melb_2/uniq_ips.txt,1000,Melbikomas UAB
AT,8447,2001:850::/29,/home/ipv6/periphery/result/RIPE/AT/A1_0/uniq_ips.txt,1000,A1 Telekom Austria AG
AT,8447,2001:870::/29,/home/ipv6/periphery/result/RIPE/AT/A1_1/uniq_ips.txt,1000,A1 Telekom Austria AG
